device,time,temperature,co2,humidity,battery,dewpoint,room
70B3D55F200001BC,2021-04-22 20:02:36+00,25,462,36.5,3,9.08,main bedroom
70B3D55F200001B9,2021-04-22 20:02:43+00,20.7,440,45,3,8.33,second bedroom
70B3D55F200001BB,2021-04-22 20:04:16+00,22.2,399,40.5,3,8.13,lounge
70B3D55F200001BC,2021-04-22 20:10:08+00,25.1,459,36.5,3,9.17,main bedroom
70B3D55F200001B9,2021-04-22 20:10:13+00,20.8,475,45,3,8.42,second bedroom
70B3D55F200001BB,2021-04-22 20:11:48+00,22.2,400,40.5,3,8.13,lounge
70B3D55F200001B9,2021-04-22 20:17:45+00,20.8,444,45,3,8.42,second bedroom
70B3D55F200001BC,2021-04-22 20:17:37+00,25.1,440,36.5,3,9.17,main bedroom
70B3D55F200001BB,2021-04-22 20:19:16+00,22.3,404,40.5,3,8.22,lounge
70B3D55F200001BC,2021-04-22 20:25:05+00,25.2,453,36.5,3,9.26,main bedroom
70B3D55F200001B9,2021-04-22 20:25:13+00,20.8,459,45,3,8.42,second bedroom
70B3D55F200001BC,2021-04-22 20:32:33+00,25.2,463,36.5,3,9.26,main bedroom
70B3D55F200001BB,2021-04-22 20:26:44+00,22.3,390,40.5,3,8.22,lounge
70B3D55F200001B9,2021-04-22 20:32:41+00,20.9,448,45,3,8.51,second bedroom
70B3D55F200001BB,2021-04-22 20:41:43+00,22.4,420,40.5,3,8.31,lounge
70B3D55F200001BB,2021-04-22 20:34:15+00,22.4,401,40.5,3,8.31,lounge
70B3D55F200001BC,2021-04-22 20:40:01+00,25.2,445,36.5,3,9.26,main bedroom
70B3D55F200001B9,2021-04-22 20:40:12+00,20.9,458,45,3,8.51,second bedroom
70B3D55F200001BB,2021-04-22 20:49:15+00,22.4,407,40.5,3,8.31,lounge
70B3D55F200001BC,2021-04-22 20:47:33+00,25.3,449,36.5,3,9.35,main bedroom
70B3D55F200001B9,2021-04-22 20:47:42+00,21,447,45,3,8.61,second bedroom
