Created via cygcheck -c command
The cygwin package version used to download was 2.83

Cygwin Package Information
Package                             Version              Status
xml2po                              0.20.10-2            OK
xmodmap                             1.0.7-1              OK
xorg-cf-files                       1.0.5-2              OK
xorg-docs                           1.7-1                OK
xorg-server                         1.14.3-2             OK
xorg-server-common                  1.14.3-2             OK
xorg-server-devel                   1.14.3-2             OK
xorg-server-extra                   1.14.3-2             OK
xorg-util-macros                    1.17-1               OK
xpdf                                3.03-3               OK
xprop                               1.2.1-1              OK
xproto                              7.0.24-1             OK
xrandr                              1.4.1-1              OK
xrdb                                1.0.9-1              OK
xset                                1.2.2-1              OK
xsetroot                            1.1.0-1              OK
xsm                                 1.0.3-1              OK
xsri                                2.1.0-10             OK
xterm                               291-1                OK
XtoW                                20130802-2           OK
xwinclip                            1.14.3-2             OK
xxd                                 7.3.1314-1           OK
xz                                  5.0.2_20110517-1     OK
yelp-tools                          3.6.1-1              OK
yelp-xsl                            3.8.1-1              OK
zip                                 3.0-11               OK
zlib-devel                          1.2.8-1              OK
zlib0                               1.2.8-1              OK
zsh                                 5.0.2-1              OK
