Created via cygcheck -c command
The cygwin package version used to download was 2.83

Cygwin Package Information
Package                             Version            Status
ruby                                1.9.3-p448-1       OK
ruby-json                           1.8.0-1            OK
ruby-rake                           10.0.4-1           OK
ruby-rdoc                           3.12.2-1           OK
run                                 1.3.0-1            OK
sed                                 4.2.2-3            OK
sgml-common                         0.6.3-3            OK
shared-mime-info                    1.1-1              OK
sharutils                           4.13.5-1           OK
shutdown                            1.10-1             OK
sound-theme-freedesktop             0.7-1              OK
source-highlight                    3.1.7-3            OK
sqlite3                             3.7.17-3           OK
subversion                          1.8.4-1            OK
subversion-tools                    1.8.4-1            OK
sysvinit                            2.86-1             OK
t1lib5                              5.1.2-1            OK
tar                                 1.26-1             OK
tcl                                 8.5.11-1           OK
tcl-tix                             8.4.3-2            OK
tcl-tk                              8.5.11-1           OK
tcsh                                6.18.01-3          OK
terminfo                            5.9-4              OK
texinfo                             4.13-1             OK
texlive                             20130529-1         OK
texlive-collection-basic            20130529-1         OK
texlive-collection-bibtexextra      20130529-2         OK
texlive-collection-binextra         20130529-1         OK
texlive-collection-fontsrecommended 20130529-1         OK
texlive-collection-latex            20130529-1         OK
texlive-collection-latexextra       20130529-1         OK
texlive-collection-latexrecommended 20130529-1         OK
texlive-collection-mathextra        20130529-1         OK
texlive-collection-pictures         20130529-1         OK
tiff                                3.9.7-3            OK
transfig                            3.2.5d-1           OK
tzcode                              2013c-1            OK
unzip                               6.0-1              OK
util-linux                          2.21.2-1           OK
vim                                 7.3.1314-1         OK
vim-common                          7.3.1314-1         OK
vim-minimal                         7.3.1314-1         OK
w32api-headers                      3.0.0-2            OK
w32api-runtime                      3.0.0-1            OK
wdiff                               1.1.2-1            OK
wget                                1.13.4-1           OK
which                               2.20-2             OK
x11perf                             1.5.4-1            OK
xauth                               1.0.7-1            OK
xbitmaps                            1.1.1-1            OK
xclipboard                          1.1.2-1            OK
xcursor-themes                      1.0.4-1            OK
xedit                               1.2.1-1            OK
xextproto                           7.2.1-2            OK
xf86-video-dummy                    0.3.6-2            OK
xf86-video-nested                   0.1.0-3            OK
xfig                                3.2.5b-1           OK
xfig-lib                            3.2.5b-1           OK
xfontsel                            1.0.5-1            OK
xineramaproto                       1.2.1-1            OK
xinit                               1.3.2-1            OK
xkbcomp                             1.2.4-1            OK
xkeyboard-config                    2.9-1              OK
xlsfonts                            1.0.4-1            OK
xml2po                              0.20.10-2          OK
xmodmap                             1.0.7-1            OK
xorg-cf-files                       1.0.5-2            OK
xorg-docs                           1.7-1              OK
xorg-scripts                        1.0.1-1            OK
xorg-server                         1.14.3-2           OK
xorg-server-common                  1.14.3-2           OK
xorg-server-extra                   1.14.3-2           OK
xpdf                                3.03-1             OK
